id,Label,modularity_class
a11,Valjean,1
a48,Gavroche,8
a55,Marius,6
a27,Javert,7
a25,Thenardier,7
a23,Fantine,2
a58,Enjolras,8
a62,Courfeyrac,8
a64,Bossuet,8
a63,Bahorel,8
a65,Joly,8
a24,MmeThenardier,7
a26,Cosette,6
a41,Eponine,7
a57,Mabeuf,8
a59,Combeferre,8
a61,Feuilly,8
a0,Myriel,0
a66,Grantaire,8
a68,Gueulemer,7
a69,Babet,7
a70,Claquesous,7
a16,Tholomyes,2
a60,Prouvaire,8
a71,Montparnasse,7
a29,Bamatabois,3
a17,Listolier,2
a18,Fameuil,2
a19,Blacheville,2
a20,Favourite,2
a21,Dahlia,2
a22,Zephine,2
a49,Gillenormand,6
a51,MlleGillenormand,6
a75,Brujon,7
a76,MmeHucheloup,8
a34,Judge,3
a35,Champmathieu,3
a36,Brevet,3
a37,Chenildieu,3
a38,Cochepaille,3
a28,Fauchelevent,4
a31,Simplice,2
a54,LtGillenormand,6
a2,MlleBaptistine,1
a3,MmeMagloire,1
a39,Pontmercy,6
a42,Anzelma,7
a43,Woman2,6
a72,Toussaint,1
a12,Marguerite,1
a30,Perpetue,2
a33,Woman1,1
a44,MotherInnocent,4
a47,MmeBurgon,5
a50,Magnon,6
a52,MmePontmercy,6
a56,BaronessT,6
a73,Child1,8
a74,Child2,8
a1,Napoleon,0
a4,CountessDeLo,0
a5,Geborand,0
a6,Champtercier,0
a7,Cravatte,0
a8,Count,0
a9,OldMan,0
a10,Labarre,1
a13,MmeDeR,1
a14,Isabeau,1
a15,Gervais,1
a32,Scaufflaire,1
a40,Boulatruelle,7
a45,Gribier,4
a46,Jondrette,5
a53,MlleVaubois,6
a67,MotherPlutarch,8
