from,to,Type,Weight
a1,a0,Undirected,1
a2,a0,Undirected,8
a3,a0,Undirected,10
a3,a2,Undirected,6
a4,a0,Undirected,1
a5,a0,Undirected,1
a6,a0,Undirected,1
a7,a0,Undirected,1
a8,a0,Undirected,2
a9,a0,Undirected,1
a11,a0,Undirected,5
a11,a2,Undirected,3
a11,a3,Undirected,3
a11,a10,Undirected,1
a12,a11,Undirected,1
a13,a11,Undirected,1
a14,a11,Undirected,1
a15,a11,Undirected,1
a17,a16,Undirected,4
a18,a16,Undirected,4
a18,a17,Undirected,4
a19,a16,Undirected,4
a19,a17,Undirected,4
a19,a18,Undirected,4
a20,a16,Undirected,3
a20,a17,Undirected,3
a20,a18,Undirected,3
a20,a19,Undirected,4
a21,a16,Undirected,3
a21,a17,Undirected,3
a21,a18,Undirected,3
a21,a19,Undirected,3
a21,a20,Undirected,5
a22,a16,Undirected,3
a22,a17,Undirected,3
a22,a18,Undirected,3
a22,a19,Undirected,3
a22,a20,Undirected,4
a22,a21,Undirected,4
a23,a11,Undirected,9
a23,a12,Undirected,2
a23,a16,Undirected,3
a23,a17,Undirected,3
a23,a18,Undirected,3
a23,a19,Undirected,3
a23,a20,Undirected,4
a23,a21,Undirected,4
a23,a22,Undirected,4
a24,a11,Undirected,7
a24,a23,Undirected,2
a25,a11,Undirected,12
a25,a23,Undirected,1
a25,a24,Undirected,13
a26,a11,Undirected,31
a26,a16,Undirected,1
a26,a24,Undirected,4
a26,a25,Undirected,1
a27,a11,Undirected,17
a27,a23,Undirected,5
a27,a24,Undirected,1
a27,a25,Undirected,5
a27,a26,Undirected,1
a28,a11,Undirected,8
a28,a27,Undirected,1
a29,a11,Undirected,2
a29,a23,Undirected,1
a29,a27,Undirected,1
a30,a23,Undirected,1
a31,a11,Undirected,3
a31,a23,Undirected,2
a31,a27,Undirected,1
a31,a30,Undirected,2
a32,a11,Undirected,1
a33,a11,Undirected,2
a33,a27,Undirected,1
a34,a11,Undirected,3
a34,a29,Undirected,2
a35,a11,Undirected,3
a35,a29,Undirected,2
a35,a34,Undirected,3
a36,a11,Undirected,2
a36,a29,Undirected,1
a36,a34,Undirected,2
a36,a35,Undirected,2
a37,a11,Undirected,2
a37,a29,Undirected,1
a37,a34,Undirected,2
a37,a35,Undirected,2
a37,a36,Undirected,2
a38,a11,Undirected,2
a38,a29,Undirected,1
a38,a34,Undirected,2
a38,a35,Undirected,2
a38,a36,Undirected,2
a38,a37,Undirected,2
a39,a25,Undirected,1
a40,a25,Undirected,1
a41,a24,Undirected,2
a41,a25,Undirected,3
a42,a24,Undirected,1
a42,a25,Undirected,2
a42,a41,Undirected,2
a43,a11,Undirected,3
a43,a26,Undirected,1
a43,a27,Undirected,1
a44,a11,Undirected,1
a44,a28,Undirected,3
a45,a28,Undirected,2
a47,a46,Undirected,1
a48,a11,Undirected,1
a48,a25,Undirected,1
a48,a27,Undirected,1
a48,a47,Undirected,2
a49,a11,Undirected,2
a49,a26,Undirected,3
a50,a24,Undirected,1
a50,a49,Undirected,1
